time,target_flux,filter,norm_target_flux,target_mag,target_flux_err,target_mag_err,diff_mag
2022-11-21T03:05:28.000,117192.11998858128,g,0.8735576434649786,12.327753973365853,342.3333462994531,0.0031867995050259335,2.710078704744891
2022-11-21T03:13:08.000,122842.68577637686,g,0.9156773263780574,12.276626742272418,350.48920921531504,0.00311264287132666,2.6631454684633233
2022-11-21T03:13:18.000,123228.531357754,g,0.9185534443017029,12.273221818564844,351.039216267576,0.003107765993043367,2.6512449679804977
2022-11-21T03:13:28.000,123431.92903078276,g,0.9200695837141019,12.271431209179964,351.3288047268296,0.0031052043665739802,2.6520391137876125
2022-11-21T03:13:38.000,124430.50701146774,g,0.9275130485793861,12.262682823179425,352.7470864677237,0.0030927193459350947,2.6495217610540145
2022-11-21T03:13:48.000,125045.34826663675,g,0.9320961150690343,12.257331148872222,353.6175169114742,0.0030851066091674407,2.638580253974691
2022-11-21T03:13:58.000,124052.64989784636,g,0.92469647721116,12.265984885740199,352.21108713078064,0.003097425885789578,2.6547080778110583
2022-11-21T03:14:08.000,124514.3878067934,g,0.9281383014539292,12.261951155877053,352.8659629473965,0.003091677444400047,2.6508713600806004
2022-11-21T03:14:18.000,124428.26662871114,g,0.9274963486213897,12.262702372135937,352.74391083151403,0.0030927471886596303,2.6487034303149812
2022-11-21T03:14:28.000,125478.59617722755,g,0.9353255730210596,12.253575871809616,354.2295811719111,0.0030797759321278166,2.6455448836774345
2022-11-21T03:14:38.000,126425.85508312743,g,0.9423865021831034,12.245410250820946,355.56413638488266,0.0030682164675912794,2.634946850562029
2022-11-21T03:05:38.000,117431.53503692152,g,0.875342258722886,12.32553815521963,342.6828490556852,0.0031835492833891203,2.7063322806151486
2022-11-21T03:14:48.000,124406.47030655925,g,0.9273338774260819,12.26289257914998,352.7130140873161,0.0030930181052828917,2.6511066240049743
2022-11-21T03:14:58.000,124976.966748847,g,0.9315863948118805,12.257925050192167,353.5208151564021,0.0030859505063607624,2.6411126620697836
2022-11-21T03:15:08.000,125186.59206644956,g,0.9331489554897942,12.256105457833446,353.81717322149524,0.0030833657072321294,2.641695812509452
2022-11-21T03:15:18.000,125321.09419054714,g,0.9341515430236588,12.254939554767041,354.00719511126766,0.0030817106364125556,2.6438499406045164
2022-11-21T03:15:28.000,125033.52611149491,g,0.9320079919598407,12.257433802420204,353.60080049611724,0.0030852524570372055,2.641038593722735
2022-11-21T03:15:38.000,124671.68999198172,g,0.929310842118083,12.260580383466802,353.08878485726746,0.0030897263955352557,2.6428275602378424
2022-11-21T03:15:48.000,124402.5144961639,g,0.9273043905594966,12.26292710335793,352.7074063528634,0.003093067281523253,2.6430297480918608
2022-11-21T03:15:58.000,125241.57099692705,g,0.9335587719941191,12.255628733366459,353.8948586754646,0.0030826888602566854,2.636127644725237
2022-11-21T03:16:08.000,124973.57108194519,g,0.9315610832911313,12.257954550416706,353.51601248309134,0.0030859924303800763,2.6389977163943286
