,time,target_flux,filter,norm_target_flux,target_mag,target_flux_err,target_mag_err,diff_mag,obs_no,color,Anomaly,Anomaly_Score
468,2022-11-06T06:18:02.000,152401.48,g,1.1561257,12.042527,390.38632,0.0027945337,0.51711005,20221106,tab:red,1,0.004610251040517821
470,2022-11-06T05:45:02.000,164224.83,g,1.2458181,11.961403,405.2466,0.002692059,0.40619752,20221106,tab:red,1,0.0006871857395864267
472,2022-11-06T05:48:12.000,155186.25,g,1.1772511,12.022867,393.93686,0.0027693466,0.41297996,20221106,tab:red,1,0.0006871857395864267
473,2022-11-06T05:48:22.000,160657.88,g,1.2187591,11.985245,400.8215,0.0027217795,0.41919357,20221106,tab:red,1,0.00419659732628902
474,2022-11-06T05:48:32.000,163937.88,g,1.2436413,11.963302,404.89243,0.0026944138,0.40727773,20221106,tab:red,1,0.0006871857395864267
475,2022-11-06T05:48:42.000,164295.95,g,1.2463577,11.960933,405.33438,0.0026914761,0.4121082,20221106,tab:red,1,0.0033759184876328563
476,2022-11-06T05:48:52.000,162560.33,g,1.2331911,11.972464,403.1877,0.0027058062,0.41372216,20221106,tab:red,1,0.0006871857395864267
477,2022-11-06T05:49:02.000,158506.98,g,1.2024423,11.999879,398.12936,0.002740184,0.42178574,20221106,tab:red,1,0.0006871857395864267
482,2022-11-06T05:45:12.000,162888.05,g,1.2356772,11.970277,403.5939,0.0027030827,0.4210764,20221106,tab:red,1,0.007113817856226112
483,2022-11-06T05:49:52.000,153446.03,g,1.1640496,12.03511,391.7219,0.0027850058,0.42008004,20221106,tab:red,1,0.000933729786544879
484,2022-11-06T05:50:02.000,159609.56,g,1.2108065,11.9923525,399.51166,0.0027307032,0.42404076,20221106,tab:red,1,0.0006871857395864267
485,2022-11-06T05:50:12.000,159151.1,g,1.2073286,11.995476,398.93744,0.0027346336,0.41386318,20221106,tab:red,1,0.002951388432930302
486,2022-11-06T05:50:22.000,161182.38,g,1.222738,11.981706,401.47525,0.0027173473,0.42019123,20221106,tab:red,1,0.0006871857395864267
487,2022-11-06T05:50:32.000,158913.81,g,1.2055285,11.997096,398.63995,0.0027366744,0.42603335,20221106,tab:red,1,0.0006871857395864267
488,2022-11-06T05:50:42.000,155372.05,g,1.1786605,12.021567,394.1726,0.0027676905,0.41111183,20221106,tab:red,1,0.0006871857395864267
489,2022-11-06T05:50:52.000,157900.97,g,1.197845,12.004038,397.36755,0.0027454374,0.42359105,20221106,tab:red,1,0.0006871857395864267
490,2022-11-06T05:51:02.000,156183.33,g,1.1848149,12.015913,395.20038,0.0027604927,0.40919477,20221106,tab:red,1,0.0006871857395864267
492,2022-11-06T05:51:22.000,160419.67,g,1.216952,11.986856,400.52423,0.0027237996,0.41009527,20221106,tab:red,1,0.003171095580778771
493,2022-11-06T05:45:22.000,161091.66,g,1.2220498,11.982317,401.36224,0.0027181124,0.41292924,20221106,tab:red,1,0.0006871857395864267
495,2022-11-06T05:51:42.000,159150.67,g,1.2073253,11.995479,398.93692,0.0027346371,0.42447388,20221106,tab:red,1,0.0033759184876328563
496,2022-11-06T05:51:52.000,159522.38,g,1.2101451,11.992946,399.40253,0.0027314492,0.4156468,20221106,tab:red,1,0.0006871857395864267
498,2022-11-06T05:52:12.000,154546.3,g,1.1723963,12.027353,393.12378,0.0027750744,0.42773128,20221106,tab:red,1,0.004513269089242711
499,2022-11-06T05:52:22.000,153642.08,g,1.1655368,12.033725,391.97202,0.0027832286,0.4211259,20221106,tab:red,1,0.002630885449206366
500,2022-11-06T05:52:32.000,156159.27,g,1.1846324,12.016081,395.16992,0.0027607053,0.42878842,20221106,tab:red,1,0.0006871857395864267
502,2022-11-06T05:52:52.000,156440.28,g,1.1867642,12.014129,395.52533,0.0027582247,0.43011355,20221106,tab:red,1,0.0006871857395864267
